Sr.#,Sheet,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Assignment_5,Assignment_6,Quiz_1,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Midterm_1,Midterm_2,Midterm_3,Midterm_4,Midterm_5,Midterm_6,Midterm_7,Midterm_8,Final_1,Final_2,Final_3,Final_4,Final_5,Final_6,Student_ID,Assignment_Mean,Assignment_Max,Assignment_Min,Assignment_Std,Assignment_Sum,Quiz_Mean,Quiz_Max,Quiz_Min,Quiz_Std,Quiz_Sum,Overall_Mean,Overall_Std,Assignment_CV,Quiz_CV
,1,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,0.0,18.0,2.0,2.0,2.0,0.0,16.0,2.4285714285714284,0.5135525910130956,0.0,0.0
,1,130.0,70.0,90.0,50.0,120.0,90.0,5.0,15.0,10.0,10.0,10.0,5.0,12.0,2.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2,91.66666666666667,130.0,50.0,29.944392908634274,550.0,8.625,15.0,2.0,4.274091382136927,69.0,44.214285714285715,46.61986795253809,0.32663047204269646,0.49497294523878715
,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,1,80.5,60.5,73.5,40.5,59.0,70.5,3.5,5.0,2.0,8.0,0.0,2.5,9.0,2.0,17.5,6.56,6.25,2.34,0.0,0.0,0.0,0.0,35.75,16.08,0.0,0.0,0.0,0.0,4,64.08333333333333,80.5,40.5,14.101122886730215,384.5,4.0,9.0,0.0,3.12821263435117,32.0,29.75,32.15332857514971,0.22000919835755484,0.7801029013344564
,1,72.5,68.0,39.0,35.0,80.5,71.0,2.5,7.0,0.0,10.0,7.0,5.0,10.0,2.0,12.5,4.68,11.0,4.12,0.0,0.0,0.0,0.0,53.5,24.07,0.0,0.0,0.0,0.0,5,61.0,80.5,35.0,19.086644545335883,366.0,5.4375,10.0,0.0,3.7171177390169237,43.5,29.25,31.01224944090021,0.31284452623071435,0.68235295805726
,1,113.0,62.0,0.0,47.0,80.0,80.0,3.5,2.5,1.0,1.0,2.0,1.0,12.0,2.0,9.5,3.56,6.5,2.43,0.0,0.0,0.0,0.0,32.5,14.62,0.0,0.0,0.0,0.0,6,63.666666666666664,113.0,0.0,38.21343568257984,382.0,3.125,12.0,1.0,3.69120576505835,25.0,29.071428571428573,39.18734938278362,0.6001167724846335,1.1774181068766667
,1,61.0,43.5,0.0,22.0,0.0,50.0,1.5,5.0,0.5,0.0,0.0,1.0,3.0,0.0,18.5,6.93,9.0,3.37,0.0,0.0,0.0,0.0,28.0,12.6,0.0,0.0,0.0,0.0,7,29.416666666666668,61.0,0.0,26.09677502425667,176.5,1.375,5.0,0.0,1.787855858683404,11.0,13.392857142857142,21.70357872956277,0.8868410180422519,1.2908706560891003
,1,104.0,67.0,72.5,45.0,120.0,90.0,5.0,10.5,10.0,10.0,6.5,5.0,9.0,2.0,28.5,10.68,17.5,6.56,0.0,0.0,0.0,0.0,74.75,33.63,0.0,0.0,0.0,0.0,8,83.08333333333333,120.0,45.0,27.089512115700177,498.5,7.25,10.5,2.0,3.093772546815388,58.0,39.75,42.47431350466194,0.32601306300987054,0.4261394692583179
,1,0.0,52.0,61.0,20.5,55.0,58.0,4.5,5.5,1.5,0.0,8.0,4.0,3.0,2.0,10.5,3.93,4.0,1.5,0.0,0.0,0.0,0.0,39.5,17.77,0.0,0.0,0.0,0.0,9,41.083333333333336,61.0,0.0,24.928731750064355,246.5,3.5625,8.0,0.0,2.513357174321685,28.5,19.642857142857142,24.77314657464391,0.6066368855466666,0.7035289501250344
,1,118.0,62.0,85.5,39.5,109.0,90.0,5.0,8.5,9.5,10.0,7.0,4.5,10.0,2.0,22.75,8.53,13.75,5.15,0.0,0.0,0.0,0.0,70.5,31.72,0.0,0.0,0.0,0.0,10,84.0,118.0,39.5,29.26943798572156,504.0,7.0625,10.0,2.0,2.969337347913552,56.5,40.035714285714285,43.53622023703336,0.3484042136141121,0.4198426790970028
,1,0.0,47.0,44.0,23.0,51.0,0.0,2.0,6.0,0.5,0.0,1.0,0.0,3.0,0.0,6.5,2.43,5.0,1.87,0.0,0.0,0.0,0.0,13.25,5.96,0.0,0.0,0.0,0.0,11,27.5,51.0,0.0,23.39871791359518,165.0,1.5625,6.0,0.0,2.0948491251502714,12.5,12.678571428571429,19.757770762272386,0.8505531775207262,1.332177504070125
